epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,22.3966,0.51395,1.04519,1.19498,0.97103,1,0.995,0.8955,0.60469,1.29987,1.48117,0.000376352,0.000376352,0.000376352
78,22.743,0.69371,1.00175,1.10595,0.97157,1,0.995,0.8955,0.55162,1.28047,1.3894,0.000366058,0.000366058,0.000366058
79,23.0649,0.53298,0.94222,1.15229,0.97157,1,0.995,0.8955,0.55162,1.28047,1.3894,0.000355368,0.000355368,0.000355368
80,23.396,0.55439,1.00015,1.06036,0.97157,1,0.995,0.8955,0.55162,1.28047,1.3894,0.000344282,0.000344282,0.000344282
81,23.7316,0.49776,0.8431,1.07723,0.97172,1,0.995,0.8955,0.47498,1.23573,1.3628,0.0003328,0.0003328,0.0003328
82,24.0636,0.5317,1.31204,1.07112,0.97172,1,0.995,0.8955,0.47498,1.23573,1.3628,0.000320922,0.000320922,0.000320922
83,24.5278,0.60217,0.94949,1.157,0.97172,1,0.995,0.8955,0.47498,1.23573,1.3628,0.000308648,0.000308648,0.000308648
84,24.8766,0.76762,1.00153,1.19107,0.97138,1,0.995,0.8955,0.48119,1.22972,1.41754,0.000295978,0.000295978,0.000295978
85,25.2075,0.71435,1.3141,1.28665,0.97138,1,0.995,0.8955,0.48119,1.22972,1.41754,0.000282912,0.000282912,0.000282912
86,25.5233,0.55742,0.83861,1.06171,0.97138,1,0.995,0.8955,0.48119,1.22972,1.41754,0.00026945,0.00026945,0.00026945
87,25.8342,0.51519,1.01599,1.08394,0.97138,1,0.995,0.8955,0.48119,1.22972,1.41754,0.000255592,0.000255592,0.000255592
88,26.158,0.55072,0.98315,1.03981,0.97029,1,0.995,0.8955,0.59065,1.32443,1.48591,0.000241338,0.000241338,0.000241338
89,26.4909,0.55322,0.93735,1.05766,0.97029,1,0.995,0.8955,0.59065,1.32443,1.48591,0.000226688,0.000226688,0.000226688
90,26.8452,0.58349,0.94255,1.06336,0.97029,1,0.995,0.8955,0.59065,1.32443,1.48591,0.000211642,0.000211642,0.000211642
91,27.5783,0.36088,1.38372,1.09624,0.97029,1,0.995,0.8955,0.59065,1.32443,1.48591,0.0001962,0.0001962,0.0001962
92,27.972,0.50319,1.47546,1.23439,0.96636,1,0.995,0.8955,0.66346,1.51139,1.59924,0.000180362,0.000180362,0.000180362
93,28.3816,0.54628,1.59186,1.2113,0.96636,1,0.995,0.8955,0.66346,1.51139,1.59924,0.000164128,0.000164128,0.000164128
94,28.7355,0.43398,1.27486,1.12594,0.96636,1,0.995,0.8955,0.66346,1.51139,1.59924,0.000147498,0.000147498,0.000147498
95,29.0712,0.50981,1.37106,1.23204,0.96636,1,0.995,0.8955,0.66346,1.51139,1.59924,0.000130472,0.000130472,0.000130472
96,29.4117,0.44067,1.26815,1.1564,0.96153,1,0.995,0.8955,0.68184,1.62891,1.63243,0.00011305,0.00011305,0.00011305
97,29.752,0.28297,1.27092,0.96529,0.96153,1,0.995,0.8955,0.68184,1.62891,1.63243,9.5232e-05,9.5232e-05,9.5232e-05
98,30.0828,0.40569,1.33512,1.10852,0.96153,1,0.995,0.8955,0.68184,1.62891,1.63243,7.7018e-05,7.7018e-05,7.7018e-05
99,30.4172,0.34889,1.23795,0.9954,0.96153,1,0.995,0.8955,0.68184,1.62891,1.63243,5.8408e-05,5.8408e-05,5.8408e-05
100,30.7618,0.36166,1.26383,0.98458,0.95987,1,0.995,0.8955,0.65815,1.61562,1.58468,3.9402e-05,3.9402e-05,3.9402e-05
